,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT,STD_CLSS_NM2
67,201901,경기,차량용 가스 충전업,3095535180,연료
68,201901,경기,차량용 주유소 운영업,121547869665,연료
69,201901,경기,체인화 편의점,83177758410,편의점
70,201901,경기,택시 운송업,139291280,기타운송수단
71,201901,경기,피자 햄버거 샌드위치 및 유사 음식점업,17878429917,숙박/음식
72,201901,경기,한식 음식점업,223599846219,숙박/음식
73,201901,경기,호텔업,389691163,숙박/음식
74,201901,경기,화장품 및 방향제 소매업,7081712315,화장품
75,201901,경기,휴양콘도 운영업,226244771,숙박/음식
76,201901,경남,건강보조식품 소매업,413897386,건강보조식품
77,201901,경남,골프장 운영업,2720329450,스포츠/오락/여가
78,201901,경남,과실 및 채소 소매업,3201287308,
79,201901,경남,관광 민예품 및 선물용품 소매업,41680368,여행/교통
80,201901,경남,그외 기타 분류안된 오락관련 서비스업,463500,오락/문화
81,201901,경남,그외 기타 스포츠시설 운영업,20833700,스포츠/오락/여가
82,201901,경남,그외 기타 종합 소매업,1249173640,종합소매
83,201901,경남,기타 대형 종합 소매업,25810400549,종합소매
84,201901,경남,기타 수상오락 서비스업,4128847,오락/문화
85,201901,경남,기타 외국식 음식점업,2156205113,숙박/음식
86,201901,경남,기타 주점업,662824990,숙박/음식
87,201901,경남,기타음식료품위주종합소매업,10887317737,종합소매
88,201901,경남,내항 여객 운송업,16887900,기타운송수단
89,201901,경남,마사지업,50163200,기타
90,201901,경남,버스 운송업,81624858,대중교통
91,201901,경남,비알콜 음료점업,2611717189,식료품
92,201901,경남,빵 및 과자류 소매업,3468492165,식료품
93,201901,경남,서양식 음식점업,4546377129,숙박/음식
94,201901,경남,수산물 소매업,1205998466,식료품
95,201901,경남,슈퍼마켓,22547713678,슈퍼마켓
96,201901,경남,스포츠 및 레크레이션 용품 임대업,4717183758,오락/문화
97,201901,경남,여관업,1133966355,숙박/음식
98,201901,경남,여행사업,5283200,여행사/자동차임대
99,201901,경남,욕탕업,1518620052,기타
100,201901,경남,육류 소매업,4743458836,식료품
101,201901,경남,일반유흥 주점업,5035557010,숙박/음식
102,201901,경남,일식 음식점업,2614006610,숙박/음식
103,201901,경남,자동차 임대업,2708271,여행사/자동차임대
104,201901,경남,전시 및 행사 대행업,59334000,기타
105,201901,경남,중식 음식점업,2521546998,숙박/음식
106,201901,경남,차량용 가스 충전업,1293051002,연료
107,201901,경남,차량용 주유소 운영업,44119183277,연료
108,201901,경남,체인화 편의점,17800235187,편의점
109,201901,경남,택시 운송업,20089170,기타운송수단
110,201901,경남,피자 햄버거 샌드위치 및 유사 음식점업,4293000932,숙박/음식
111,201901,경남,한식 음식점업,59502043775,숙박/음식
112,201901,경남,호텔업,144925635,숙박/음식
113,201901,경남,화장품 및 방향제 소매업,2129406848,화장품
114,201901,경남,휴양콘도 운영업,613753878,숙박/음식
115,201901,경북,건강보조식품 소매업,284178152,건강보조식품
116,201901,경북,골프장 운영업,1829791970,스포츠/오락/여가
117,201901,경북,과실 및 채소 소매업,2384347737,
118,201901,경북,관광 민예품 및 선물용품 소매업,50416060,여행/교통
119,201901,경북,그외 기타 분류안된 오락관련 서비스업,195000,오락/문화
120,201901,경북,그외 기타 스포츠시설 운영업,17645600,스포츠/오락/여가
121,201901,경북,그외 기타 종합 소매업,746948370,종합소매
122,201901,경북,기타 대형 종합 소매업,16081779821,종합소매
123,201901,경북,기타 수상오락 서비스업,1441600,오락/문화
124,201901,경북,기타 외국식 음식점업,1434047123,숙박/음식
125,201901,경북,기타 주점업,396003929,숙박/음식
126,201901,경북,기타음식료품위주종합소매업,7921181919,종합소매
127,201901,경북,내항 여객 운송업,3566000,기타운송수단
128,201901,경북,마사지업,18398000,기타
129,201901,경북,비알콜 음료점업,1749268087,식료품
130,201901,경북,빵 및 과자류 소매업,2182383475,식료품
131,201901,경북,서양식 음식점업,2559135894,숙박/음식
132,201901,경북,수산물 소매업,1895458753,식료품
133,201901,경북,슈퍼마켓,21461584707,슈퍼마켓
134,201901,경북,스포츠 및 레크레이션 용품 임대업,4840729397,오락/문화
135,201901,경북,여관업,517696639,숙박/음식
136,201901,경북,여행사업,89000,여행사/자동차임대
137,201901,경북,욕탕업,817427689,기타
138,201901,경북,육류 소매업,4794490885,식료품
139,201901,경북,일반유흥 주점업,1546412872,숙박/음식
140,201901,경북,일식 음식점업,1282923702,숙박/음식
141,201901,경북,자동차 임대업,1367000,여행사/자동차임대
142,201901,경북,전시 및 행사 대행업,137143050,기타
143,201901,경북,중식 음식점업,1675287229,숙박/음식
144,201901,경북,차량용 가스 충전업,1621411903,연료
145,201901,경북,차량용 주유소 운영업,42900835522,연료
146,201901,경북,체인화 편의점,11278015102,편의점
147,201901,경북,택시 운송업,553080,기타운송수단
148,201901,경북,피자 햄버거 샌드위치 및 유사 음식점업,2476400674,숙박/음식
149,201901,경북,한식 음식점업,41127952116,숙박/음식
150,201901,경북,호텔업,506154785,숙박/음식
151,201901,경북,화장품 및 방향제 소매업,1447825537,화장품
152,201901,경북,휴양콘도 운영업,459768944,숙박/음식
153,201901,광주,건강보조식품 소매업,252286545,건강보조식품
154,201901,광주,골프장 운영업,88324000,스포츠/오락/여가
155,201901,광주,과실 및 채소 소매업,2031048025,
156,201901,광주,관광 민예품 및 선물용품 소매업,12454900,여행/교통
157,201901,광주,그외 기타 스포츠시설 운영업,12133600,스포츠/오락/여가
158,201901,광주,그외 기타 종합 소매업,1868468630,종합소매
159,201901,광주,기타 대형 종합 소매업,11746170440,종합소매
160,201901,광주,기타 수상오락 서비스업,509500,오락/문화
161,201901,광주,기타 외국식 음식점업,1068799119,숙박/음식
162,201901,광주,기타 주점업,433149945,숙박/음식
163,201901,광주,기타음식료품위주종합소매업,715994680,종합소매
164,201901,광주,내항 여객 운송업,21357100,기타운송수단
165,201901,광주,마사지업,92975500,기타
166,201901,광주,버스 운송업,11875000,대중교통
167,201901,광주,비알콜 음료점업,1909710679,식료품
168,201901,광주,빵 및 과자류 소매업,2094935172,식료품
169,201901,광주,서양식 음식점업,3324676580,숙박/음식
170,201901,광주,수산물 소매업,1147863824,식료품
171,201901,광주,슈퍼마켓,19220514643,슈퍼마켓
172,201901,광주,스포츠 및 레크레이션 용품 임대업,2983040066,오락/문화
173,201901,광주,여관업,552609981,숙박/음식
174,201901,광주,여행사업,1200000,여행사/자동차임대
175,201901,광주,욕탕업,411935000,기타
176,201901,광주,육류 소매업,3106206579,식료품
177,201901,광주,일반유흥 주점업,1157977516,숙박/음식
178,201901,광주,일식 음식점업,1005008660,숙박/음식
179,201901,광주,자동차 임대업,2761800,여행사/자동차임대
180,201901,광주,전시 및 행사 대행업,2566700,기타
181,201901,광주,중식 음식점업,1813329812,숙박/음식
182,201901,광주,차량용 가스 충전업,907015082,연료
183,201901,광주,차량용 주유소 운영업,14947924766,연료
184,201901,광주,체인화 편의점,7948983687,편의점
185,201901,광주,피자 햄버거 샌드위치 및 유사 음식점업,2186537862,숙박/음식
186,201901,광주,한식 음식점업,30149824237,숙박/음식
187,201901,광주,호텔업,68511779,숙박/음식
188,201901,광주,화장품 및 방향제 소매업,1144509912,화장품
189,201901,대구,건강보조식품 소매업,363157482,건강보조식품
190,201901,대구,골프장 운영업,76561290,스포츠/오락/여가
191,201901,대구,과실 및 채소 소매업,2471304159,
192,201901,대구,관광 민예품 및 선물용품 소매업,31214650,여행/교통
193,201901,대구,그외 기타 스포츠시설 운영업,19870000,스포츠/오락/여가
194,201901,대구,그외 기타 종합 소매업,2081138470,종합소매
195,201901,대구,기타 대형 종합 소매업,27421459810,종합소매
196,201901,대구,기타 수상오락 서비스업,2179500,오락/문화
197,201901,대구,기타 외국식 음식점업,1929529013,숙박/음식
198,201901,대구,기타 주점업,374619498,숙박/음식
199,201901,대구,기타음식료품위주종합소매업,2426660262,종합소매
200,201901,대구,마사지업,13438000,기타
201,201901,대구,면세점,260386820,면세점
202,201901,대구,버스 운송업,2823000,대중교통
203,201901,대구,비알콜 음료점업,3554196810,식료품
204,201901,대구,빵 및 과자류 소매업,3473606016,식료품
205,201901,대구,서양식 음식점업,6298964069,숙박/음식
206,201901,대구,수산물 소매업,2075478065,식료품
207,201901,대구,슈퍼마켓,30595467952,슈퍼마켓
208,201901,대구,스포츠 및 레크레이션 용품 임대업,3610983325,오락/문화
209,201901,대구,여관업,941980723,숙박/음식
210,201901,대구,여행사업,8004400,여행사/자동차임대
211,201901,대구,욕탕업,1018055394,기타
212,201901,대구,육류 소매업,6237121335,식료품
213,201901,대구,일반유흥 주점업,1278624717,숙박/음식
214,201901,대구,일식 음식점업,2716032514,숙박/음식
215,201901,대구,자동차 임대업,2531800,여행사/자동차임대
216,201901,대구,전시 및 행사 대행업,124830680,기타
217,201901,대구,중식 음식점업,2990932979,숙박/음식
218,201901,대구,차량용 가스 충전업,1289624290,연료
219,201901,대구,차량용 주유소 운영업,23928428217,연료
220,201901,대구,체인화 편의점,13378173084,편의점
221,201901,대구,택시 운송업,5884419240,기타운송수단
222,201901,대구,피자 햄버거 샌드위치 및 유사 음식점업,4215292077,숙박/음식
223,201901,대구,한식 음식점업,53447024178,숙박/음식
224,201901,대구,호텔업,500755156,숙박/음식
225,201901,대구,화장품 및 방향제 소매업,2436587747,화장품
226,201901,대전,건강보조식품 소매업,169038837,건강보조식품
227,201901,대전,골프장 운영업,76307250,스포츠/오락/여가
228,201901,대전,과실 및 채소 소매업,969696436,
229,201901,대전,관광 민예품 및 선물용품 소매업,15388343,여행/교통
230,201901,대전,그외 기타 스포츠시설 운영업,912500,스포츠/오락/여가
231,201901,대전,그외 기타 종합 소매업,1390944690,종합소매
232,201901,대전,기타 대형 종합 소매업,10589807220,종합소매
233,201901,대전,기타 수상오락 서비스업,320400,오락/문화
234,201901,대전,기타 외국식 음식점업,1272432506,숙박/음식
235,201901,대전,기타 주점업,164902800,숙박/음식
236,201901,대전,기타음식료품위주종합소매업,1364288500,종합소매
237,201901,대전,마사지업,21761600,기타
238,201901,대전,비알콜 음료점업,1164452253,식료품
239,201901,대전,빵 및 과자류 소매업,1951020440,식료품
240,201901,대전,서양식 음식점업,2616177633,숙박/음식
241,201901,대전,수산물 소매업,815718457,식료품
242,201901,대전,슈퍼마켓,8718913322,슈퍼마켓
243,201901,대전,스포츠 및 레크레이션 용품 임대업,1058529646,오락/문화
244,201901,대전,여관업,410830148,숙박/음식
245,201901,대전,욕탕업,347692305,기타
246,201901,대전,육류 소매업,2179134572,식료품
247,201901,대전,일반유흥 주점업,172620200,숙박/음식
248,201901,대전,일식 음식점업,1031128821,숙박/음식
249,201901,대전,자동차 임대업,699000,여행사/자동차임대
250,201901,대전,전시 및 행사 대행업,18330590,기타
251,201901,대전,중식 음식점업,1394197327,숙박/음식
252,201901,대전,차량용 가스 충전업,543114189,연료
253,201901,대전,차량용 주유소 운영업,9700708435,연료
254,201901,대전,체인화 편의점,5973308297,편의점
255,201901,대전,피자 햄버거 샌드위치 및 유사 음식점업,1531322519,숙박/음식
256,201901,대전,한식 음식점업,20393108159,숙박/음식
257,201901,대전,호텔업,124560084,숙박/음식
258,201901,대전,화장품 및 방향제 소매업,829262155,화장품
259,201901,부산,건강보조식품 소매업,546449683,건강보조식품
260,201901,부산,골프장 운영업,739354624,스포츠/오락/여가
261,201901,부산,과실 및 채소 소매업,5278856359,
262,201901,부산,관광 민예품 및 선물용품 소매업,89677238,여행/교통
263,201901,부산,그외 기타 스포츠시설 운영업,23628400,스포츠/오락/여가
264,201901,부산,그외 기타 종합 소매업,2364140950,종합소매
265,201901,부산,기타 대형 종합 소매업,69264265414,종합소매
266,201901,부산,기타 수상오락 서비스업,3136060,오락/문화
267,201901,부산,기타 외국식 음식점업,2825727765,숙박/음식
268,201901,부산,기타 주점업,1661705950,숙박/음식
269,201901,부산,기타음식료품위주종합소매업,1026458967,종합소매
270,201901,부산,내항 여객 운송업,1876000,기타운송수단
271,201901,부산,마사지업,32172088,기타
272,201901,부산,면세점,3695671882,면세점
273,201901,부산,버스 운송업,3362000,대중교통
274,201901,부산,비알콜 음료점업,4672982253,식료품
275,201901,부산,빵 및 과자류 소매업,4850081046,식료품
276,201901,부산,서양식 음식점업,9028133335,숙박/음식
277,201901,부산,수산물 소매업,1010659926,식료품
278,201901,부산,슈퍼마켓,27096764172,슈퍼마켓
279,201901,부산,스포츠 및 레크레이션 용품 임대업,5864079929,오락/문화
280,201901,부산,여관업,1790134309,숙박/음식
281,201901,부산,여행사업,36214300,여행사/자동차임대
282,201901,부산,욕탕업,1941613686,기타
283,201901,부산,육류 소매업,5657597911,식료품
284,201901,부산,일반유흥 주점업,4408514428,숙박/음식
285,201901,부산,일식 음식점업,4177487045,숙박/음식
286,201901,부산,자동차 임대업,11936250,여행사/자동차임대
287,201901,부산,전시 및 행사 대행업,310245148,기타
288,201901,부산,정기 항공 운송업,5453362570,항공사
289,201901,부산,중식 음식점업,3754973920,숙박/음식
290,201901,부산,차량용 가스 충전업,947699287,연료
291,201901,부산,차량용 주유소 운영업,28473405003,연료
292,201901,부산,체인화 편의점,23020214212,편의점
293,201901,부산,택시 운송업,3951041329,기타운송수단
294,201901,부산,피자 햄버거 샌드위치 및 유사 음식점업,6463448627,숙박/음식
295,201901,부산,한식 음식점업,78082285759,숙박/음식
296,201901,부산,호텔업,2311233793,숙박/음식
297,201901,부산,화장품 및 방향제 소매업,3554408212,화장품
298,201901,부산,휴양콘도 운영업,436352560,숙박/음식
299,201901,서울,건강보조식품 소매업,1987567326,건강보조식품
300,201901,서울,골프장 운영업,91167430,스포츠/오락/여가
301,201901,서울,과실 및 채소 소매업,7781224692,
302,201901,서울,관광 민예품 및 선물용품 소매업,201789366,여행/교통
303,201901,서울,그외 기타 스포츠시설 운영업,61005100,스포츠/오락/여가
304,201901,서울,그외 기타 종합 소매업,40095873506,종합소매
305,201901,서울,기타 대형 종합 소매업,109356444014,종합소매
306,201901,서울,기타 수상오락 서비스업,11379200,오락/문화
307,201901,서울,기타 외국식 음식점업,11165712719,숙박/음식
308,201901,서울,기타 주점업,2158796004,숙박/음식
309,201901,서울,기타음식료품위주종합소매업,28643671323,종합소매
310,201901,서울,내항 여객 운송업,1547926322,기타운송수단
311,201901,서울,마사지업,250680704,기타
312,201901,서울,면세점,5401846272,면세점
313,201901,서울,버스 운송업,15752052140,대중교통
314,201901,서울,비알콜 음료점업,29579626245,식료품
315,201901,서울,빵 및 과자류 소매업,15628677549,식료품
316,201901,서울,서양식 음식점업,44144354639,숙박/음식
317,201901,서울,수산물 소매업,3539054592,식료품
318,201901,서울,슈퍼마켓,84097660037,슈퍼마켓
319,201901,서울,스포츠 및 레크레이션 용품 임대업,16604841096,오락/문화
320,201901,서울,여관업,4025389532,숙박/음식
321,201901,서울,여행사업,12840218666,여행사/자동차임대
322,201901,서울,욕탕업,3558037953,기타
323,201901,서울,육류 소매업,15298556936,식료품
324,201901,서울,일반유흥 주점업,5435788120,숙박/음식
325,201901,서울,일식 음식점업,19683962203,숙박/음식
326,201901,서울,자동차 임대업,324490455,여행사/자동차임대
327,201901,서울,전시 및 행사 대행업,1091350782,기타
328,201901,서울,정기 항공 운송업,35205057302,항공사
329,201901,서울,중식 음식점업,18823781054,숙박/음식
330,201901,서울,차량용 가스 충전업,914023387,연료
331,201901,서울,차량용 주유소 운영업,32715752794,연료
332,201901,서울,체인화 편의점,80419748756,편의점
333,201901,서울,택시 운송업,97621455134,기타운송수단
334,201901,서울,피자 햄버거 샌드위치 및 유사 음식점업,20309069355,숙박/음식
335,201901,서울,한식 음식점업,208167049908,숙박/음식
336,201901,서울,호텔업,11357183476,숙박/음식
337,201901,서울,화장품 및 방향제 소매업,22777628706,화장품
338,201901,세종,건강보조식품 소매업,17375375,건강보조식품
339,201901,세종,골프장 운영업,56418400,스포츠/오락/여가
340,201901,세종,과실 및 채소 소매업,390190906,
341,201901,세종,관광 민예품 및 선물용품 소매업,198000,여행/교통
342,201901,세종,그외 기타 종합 소매업,30026050,종합소매
343,201901,세종,기타 대형 종합 소매업,1719097319,종합소매
344,201901,세종,기타 수상오락 서비스업,68200,오락/문화
345,201901,세종,기타 외국식 음식점업,166866608,숙박/음식
346,201901,세종,기타 주점업,9827000,숙박/음식
347,201901,세종,기타음식료품위주종합소매업,535848620,종합소매
348,201901,세종,마사지업,3863800,기타
349,201901,세종,비알콜 음료점업,216703130,식료품
350,201901,세종,빵 및 과자류 소매업,279049701,식료품
351,201901,세종,서양식 음식점업,439769462,숙박/음식
352,201901,세종,수산물 소매업,47462110,식료품
353,201901,세종,슈퍼마켓,1321637388,슈퍼마켓
354,201901,세종,스포츠 및 레크레이션 용품 임대업,108571174,오락/문화
355,201901,세종,여관업,7571000,숙박/음식
356,201901,세종,욕탕업,45187370,기타
357,201901,세종,육류 소매업,336483877,식료품
358,201901,세종,일반유흥 주점업,12406000,숙박/음식
359,201901,세종,일식 음식점업,163100740,숙박/음식
360,201901,세종,전시 및 행사 대행업,11445080,기타
361,201901,세종,중식 음식점업,339034211,숙박/음식
362,201901,세종,차량용 가스 충전업,43536880,연료
363,201901,세종,차량용 주유소 운영업,1836246839,연료
364,201901,세종,체인화 편의점,1028490230,편의점
365,201901,세종,피자 햄버거 샌드위치 및 유사 음식점업,303441608,숙박/음식
366,201901,세종,한식 음식점업,3019453655,숙박/음식
367,201901,세종,화장품 및 방향제 소매업,67450325,화장품
368,201901,울산,건강보조식품 소매업,124776811,건강보조식품
369,201901,울산,골프장 운영업,349865150,스포츠/오락/여가
370,201901,울산,과실 및 채소 소매업,1106587180,
371,201901,울산,관광 민예품 및 선물용품 소매업,5440000,여행/교통
372,201901,울산,그외 기타 스포츠시설 운영업,7373600,스포츠/오락/여가
373,201901,울산,그외 기타 종합 소매업,2419959820,종합소매
374,201901,울산,기타 대형 종합 소매업,10453866129,종합소매
375,201901,울산,기타 수상오락 서비스업,974800,오락/문화
376,201901,울산,기타 외국식 음식점업,952063406,숙박/음식
377,201901,울산,기타 주점업,458168030,숙박/음식
378,201901,울산,기타음식료품위주종합소매업,1527046550,종합소매
379,201901,울산,마사지업,50689000,기타
380,201901,울산,면세점,550600,면세점
381,201901,울산,버스 운송업,46480476,대중교통
382,201901,울산,비알콜 음료점업,1209651658,식료품
383,201901,울산,빵 및 과자류 소매업,1234650085,식료품
384,201901,울산,서양식 음식점업,2098817213,숙박/음식
385,201901,울산,수산물 소매업,414959230,식료품
386,201901,울산,슈퍼마켓,9809605387,슈퍼마켓
387,201901,울산,스포츠 및 레크레이션 용품 임대업,1557637916,오락/문화
388,201901,울산,여관업,433404140,숙박/음식
389,201901,울산,여행사업,1375500,여행사/자동차임대
390,201901,울산,욕탕업,666650724,기타
391,201901,울산,육류 소매업,3057065270,식료품
392,201901,울산,일반유흥 주점업,1561327818,숙박/음식
393,201901,울산,일식 음식점업,924168639,숙박/음식
394,201901,울산,자동차 임대업,2233000,여행사/자동차임대
395,201901,울산,전시 및 행사 대행업,19891200,기타
396,201901,울산,중식 음식점업,1080913080,숙박/음식
397,201901,울산,차량용 가스 충전업,311449976,연료
398,201901,울산,차량용 주유소 운영업,12447075662,연료
399,201901,울산,체인화 편의점,6149800339,편의점
400,201901,울산,피자 햄버거 샌드위치 및 유사 음식점업,1697509043,숙박/음식
401,201901,울산,한식 음식점업,23487134815,숙박/음식
402,201901,울산,호텔업,173204712,숙박/음식
403,201901,울산,화장품 및 방향제 소매업,775720920,화장품
404,201901,인천,건강보조식품 소매업,552861009,건강보조식품
405,201901,인천,골프장 운영업,240457750,스포츠/오락/여가
406,201901,인천,과실 및 채소 소매업,3075705961,
407,201901,인천,관광 민예품 및 선물용품 소매업,16147000,여행/교통
408,201901,인천,그외 기타 스포츠시설 운영업,20365000,스포츠/오락/여가
409,201901,인천,그외 기타 종합 소매업,876990110,종합소매
410,201901,인천,기타 대형 종합 소매업,28285140643,종합소매
411,201901,인천,기타 수상오락 서비스업,23290300,오락/문화
412,201901,인천,기타 외국식 음식점업,3251679929,숙박/음식
413,201901,인천,기타 주점업,586908660,숙박/음식
414,201901,인천,기타음식료품위주종합소매업,1140263232,종합소매
415,201901,인천,내항 여객 운송업,352786676,기타운송수단
416,201901,인천,마사지업,78635900,기타
417,201901,인천,면세점,18290069115,면세점
418,201901,인천,비알콜 음료점업,2996911947,식료품
419,201901,인천,빵 및 과자류 소매업,3650038153,식료품
420,201901,인천,서양식 음식점업,4435114462,숙박/음식
421,201901,인천,수산물 소매업,1427120728,식료품
422,201901,인천,슈퍼마켓,28401043435,슈퍼마켓
423,201901,인천,스포츠 및 레크레이션 용품 임대업,5418820569,오락/문화
424,201901,인천,여관업,1202295985,숙박/음식
425,201901,인천,여행사업,3022500,여행사/자동차임대
426,201901,인천,욕탕업,1082358373,기타
427,201901,인천,육류 소매업,4800818605,식료품
428,201901,인천,일반유흥 주점업,1831424332,숙박/음식
429,201901,인천,일식 음식점업,2955995040,숙박/음식
430,201901,인천,자동차 임대업,1335000,여행사/자동차임대
431,201901,인천,전시 및 행사 대행업,106720161,기타
432,201901,인천,정기 항공 운송업,596295382,항공사
433,201901,인천,중식 음식점업,3348211196,숙박/음식
434,201901,인천,차량용 가스 충전업,704290278,연료
435,201901,인천,차량용 주유소 운영업,24636655272,연료
436,201901,인천,체인화 편의점,18694906325,편의점
437,201901,인천,택시 운송업,130179550,기타운송수단
438,201901,인천,피자 햄버거 샌드위치 및 유사 음식점업,4397889375,숙박/음식
439,201901,인천,한식 음식점업,51192281930,숙박/음식
440,201901,인천,호텔업,821989297,숙박/음식
441,201901,인천,화장품 및 방향제 소매업,1547864373,화장품
442,201901,전남,건강보조식품 소매업,235988388,건강보조식품
443,201901,전남,골프장 운영업,1232972950,스포츠/오락/여가
444,201901,전남,과실 및 채소 소매업,2520640645,
445,201901,전남,관광 민예품 및 선물용품 소매업,6928400,여행/교통
446,201901,전남,그외 기타 스포츠시설 운영업,5382000,스포츠/오락/여가
447,201901,전남,그외 기타 종합 소매업,2895868620,종합소매
448,201901,전남,기타 대형 종합 소매업,10225057530,종합소매
449,201901,전남,기타 외국식 음식점업,668481946,숙박/음식
450,201901,전남,기타 주점업,672744430,숙박/음식
451,201901,전남,기타음식료품위주종합소매업,7646800407,종합소매
452,201901,전남,내항 여객 운송업,17227200,기타운송수단
453,201901,전남,마사지업,82843000,기타
454,201901,전남,면세점,56859530,면세점
455,201901,전남,버스 운송업,3207860,대중교통
456,201901,전남,비알콜 음료점업,1171472222,식료품
457,201901,전남,빵 및 과자류 소매업,1387364841,식료품
458,201901,전남,서양식 음식점업,2006837929,숙박/음식
459,201901,전남,수산물 소매업,1094071670,식료품
460,201901,전남,슈퍼마켓,11716834701,슈퍼마켓
461,201901,전남,스포츠 및 레크레이션 용품 임대업,2769003596,오락/문화
462,201901,전남,여관업,737564257,숙박/음식
463,201901,전남,여행사업,1106500,여행사/자동차임대
464,201901,전남,욕탕업,335999122,기타
465,201901,전남,육류 소매업,2724700281,식료품
466,201901,전남,일반유흥 주점업,1952883785,숙박/음식
467,201901,전남,일식 음식점업,1145828926,숙박/음식
468,201901,전남,자동차 임대업,6665517,여행사/자동차임대
469,201901,전남,전시 및 행사 대행업,346074752,기타
470,201901,전남,중식 음식점업,1182499435,숙박/음식
471,201901,전남,차량용 가스 충전업,962692842,연료
472,201901,전남,차량용 주유소 운영업,24561626151,연료
473,201901,전남,체인화 편의점,6225541457,편의점
474,201901,전남,피자 햄버거 샌드위치 및 유사 음식점업,1475602323,숙박/음식
475,201901,전남,한식 음식점업,26718468426,숙박/음식
476,201901,전남,호텔업,35816180,숙박/음식
477,201901,전남,화장품 및 방향제 소매업,805342539,화장품
478,201901,전남,휴양콘도 운영업,142984243,숙박/음식
479,201901,전북,건강보조식품 소매업,318284772,건강보조식품
480,201901,전북,골프장 운영업,386827900,스포츠/오락/여가
