REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT,STD_CLSS_NM2,STD_CLSS_NM3
201901,대구,호텔업,500755156,숙박/음식,tour
201901,대구,화장품 및 방향제 소매업,2436587747,화장품,fbeauty
201901,대전,건강보조식품 소매업,169038837,건강보조식품,eatery
201901,대전,골프장 운영업,76307250,스포츠/오락/여가,leisure
201901,대전,과실 및 채소 소매업,969696436,식료품,eatery
201901,대전,관광 민예품 및 선물용품 소매업,15388343,여행/교통,tour
201901,대전,그외 기타 스포츠시설 운영업,912500,스포츠/오락/여가,leisure
201901,대전,그외 기타 종합 소매업,1390944690,종합소매,living
201901,대전,기타 대형 종합 소매업,10589807220,종합소매,living
201901,대전,기타 수상오락 서비스업,320400,오락/문화,leisure
201901,대전,기타 외국식 음식점업,1272432506,숙박/음식,eatery
201901,대전,기타 주점업,164902800,숙박/음식,eatery
201901,대전,기타음식료품위주종합소매업,1364288500,종합소매,eatery
201901,대전,마사지업,21761600,기타,living
201901,대전,비알콜 음료점업,1164452253,식료품,eatery
201901,대전,빵 및 과자류 소매업,1951020440,식료품,eatery
201901,대전,서양식 음식점업,2616177633,숙박/음식,eatery
201901,대전,수산물 소매업,815718457,식료품,eatery
201901,대전,슈퍼마켓,8718913322,슈퍼마켓,living
201901,대전,스포츠 및 레크레이션 용품 임대업,1058529646,오락/문화,leisure
201901,대전,여관업,410830148,숙박/음식,tour
201901,대전,욕탕업,347692305,기타,living
201901,대전,육류 소매업,2179134572,식료품,eatery
201901,대전,일반유흥 주점업,172620200,숙박/음식,eatery
201901,대전,일식 음식점업,1031128821,숙박/음식,eatery
201901,대전,자동차 임대업,699000,여행사/자동차임대,tour
201901,대전,전시 및 행사 대행업,18330590,기타,hobbyenter
201901,대전,중식 음식점업,1394197327,숙박/음식,eatery
201901,대전,차량용 가스 충전업,543114189,연료,living
201901,대전,차량용 주유소 운영업,9700708435,연료,living
201901,대전,체인화 편의점,5973308297,편의점,living
201901,대전,피자 햄버거 샌드위치 및 유사 음식점업,1531322519,숙박/음식,eatery
201901,대전,한식 음식점업,20393108159,숙박/음식,eatery
201901,대전,호텔업,124560084,숙박/음식,tour
201901,대전,화장품 및 방향제 소매업,829262155,화장품,fbeauty
201901,부산,건강보조식품 소매업,546449683,건강보조식품,eatery
201901,부산,골프장 운영업,739354624,스포츠/오락/여가,leisure
201901,부산,과실 및 채소 소매업,5278856359,식료품,eatery
201901,부산,관광 민예품 및 선물용품 소매업,89677238,여행/교통,tour
201901,부산,그외 기타 스포츠시설 운영업,23628400,스포츠/오락/여가,leisure
201901,부산,그외 기타 종합 소매업,2364140950,종합소매,living
201901,부산,기타 대형 종합 소매업,69264265414,종합소매,living
201901,부산,기타 수상오락 서비스업,3136060,오락/문화,leisure
201901,부산,기타 외국식 음식점업,2825727765,숙박/음식,eatery
201901,부산,기타 주점업,1661705950,숙박/음식,eatery
201901,부산,기타음식료품위주종합소매업,1026458967,종합소매,eatery
201901,부산,내항 여객 운송업,1876000,기타운송수단,tour
201901,부산,마사지업,32172088,기타,living
201901,부산,면세점,3695671882,면세점,tour
201901,부산,버스 운송업,3362000,대중교통,living
201901,부산,비알콜 음료점업,4672982253,식료품,eatery
201901,부산,빵 및 과자류 소매업,4850081046,식료품,eatery
201901,부산,서양식 음식점업,9028133335,숙박/음식,eatery
201901,부산,수산물 소매업,1010659926,식료품,eatery
201901,부산,슈퍼마켓,27096764172,슈퍼마켓,living
201901,부산,스포츠 및 레크레이션 용품 임대업,5864079929,오락/문화,leisure
201901,부산,여관업,1790134309,숙박/음식,tour
201901,부산,여행사업,36214300,여행사/자동차임대,tour
201901,부산,욕탕업,1941613686,기타,living
201901,부산,육류 소매업,5657597911,식료품,eatery
201901,부산,일반유흥 주점업,4408514428,숙박/음식,eatery
201901,부산,일식 음식점업,4177487045,숙박/음식,eatery
201901,부산,자동차 임대업,11936250,여행사/자동차임대,tour
201901,부산,전시 및 행사 대행업,310245148,기타,hobbyenter
201901,부산,정기 항공 운송업,5453362570,항공사,tour
201901,부산,중식 음식점업,3754973920,숙박/음식,eatery
201901,부산,차량용 가스 충전업,947699287,연료,living
201901,부산,차량용 주유소 운영업,28473405003,연료,living
201901,부산,체인화 편의점,23020214212,편의점,living
201901,부산,택시 운송업,3951041329,기타운송수단,living
201901,부산,피자 햄버거 샌드위치 및 유사 음식점업,6463448627,숙박/음식,eatery
201901,부산,한식 음식점업,78082285759,숙박/음식,eatery
201901,부산,호텔업,2311233793,숙박/음식,tour
201901,부산,화장품 및 방향제 소매업,3554408212,화장품,fbeauty
201901,부산,휴양콘도 운영업,436352560,숙박/음식,tour
201901,서울,건강보조식품 소매업,1987567326,건강보조식품,eatery
201901,서울,골프장 운영업,91167430,스포츠/오락/여가,leisure
201901,서울,과실 및 채소 소매업,7781224692,식료품,eatery
201901,서울,관광 민예품 및 선물용품 소매업,201789366,여행/교통,tour
201901,서울,그외 기타 스포츠시설 운영업,61005100,스포츠/오락/여가,leisure
201901,서울,그외 기타 종합 소매업,40095873506,종합소매,living
201901,서울,기타 대형 종합 소매업,109356444014,종합소매,living
201901,서울,기타 수상오락 서비스업,11379200,오락/문화,leisure
201901,서울,기타 외국식 음식점업,11165712719,숙박/음식,eatery
201901,서울,기타 주점업,2158796004,숙박/음식,eatery
201901,서울,기타음식료품위주종합소매업,28643671323,종합소매,eatery
201901,서울,내항 여객 운송업,1547926322,기타운송수단,tour
201901,서울,마사지업,250680704,기타,living
201901,서울,면세점,5401846272,면세점,tour
201901,서울,버스 운송업,15752052140,대중교통,living
201901,서울,비알콜 음료점업,29579626245,식료품,eatery
201901,서울,빵 및 과자류 소매업,15628677549,식료품,eatery
201901,서울,서양식 음식점업,44144354639,숙박/음식,eatery
201901,서울,수산물 소매업,3539054592,식료품,eatery
201901,서울,슈퍼마켓,84097660037,슈퍼마켓,living
201901,서울,스포츠 및 레크레이션 용품 임대업,16604841096,오락/문화,leisure
201901,서울,여관업,4025389532,숙박/음식,tour
201901,서울,여행사업,12840218666,여행사/자동차임대,tour
201901,서울,욕탕업,3558037953,기타,living
201901,서울,육류 소매업,15298556936,식료품,eatery
201901,서울,일반유흥 주점업,5435788120,숙박/음식,eatery
201901,서울,일식 음식점업,19683962203,숙박/음식,eatery
201901,서울,자동차 임대업,324490455,여행사/자동차임대,tour
201901,서울,전시 및 행사 대행업,1091350782,기타,hobbyenter
201901,서울,정기 항공 운송업,35205057302,항공사,tour
201901,서울,중식 음식점업,18823781054,숙박/음식,eatery
201901,서울,차량용 가스 충전업,914023387,연료,living
201901,서울,차량용 주유소 운영업,32715752794,연료,living
201901,서울,체인화 편의점,80419748756,편의점,living
201901,서울,택시 운송업,97621455134,기타운송수단,living
201901,서울,피자 햄버거 샌드위치 및 유사 음식점업,20309069355,숙박/음식,eatery
201901,서울,한식 음식점업,208167049908,숙박/음식,eatery
201901,서울,호텔업,11357183476,숙박/음식,tour
201901,서울,화장품 및 방향제 소매업,22777628706,화장품,fbeauty
201901,세종,건강보조식품 소매업,17375375,건강보조식품,eatery
201901,세종,골프장 운영업,56418400,스포츠/오락/여가,leisure
201901,세종,과실 및 채소 소매업,390190906,식료품,eatery
201901,세종,관광 민예품 및 선물용품 소매업,198000,여행/교통,tour
201901,세종,그외 기타 종합 소매업,30026050,종합소매,living
201901,세종,기타 대형 종합 소매업,1719097319,종합소매,living
201901,세종,기타 수상오락 서비스업,68200,오락/문화,leisure
201901,세종,기타 외국식 음식점업,166866608,숙박/음식,eatery
201901,세종,기타 주점업,9827000,숙박/음식,eatery
201901,세종,기타음식료품위주종합소매업,535848620,종합소매,eatery
201901,세종,마사지업,3863800,기타,living
201901,세종,비알콜 음료점업,216703130,식료품,eatery
201901,세종,빵 및 과자류 소매업,279049701,식료품,eatery
201901,세종,서양식 음식점업,439769462,숙박/음식,eatery
201901,세종,수산물 소매업,47462110,식료품,eatery
201901,세종,슈퍼마켓,1321637388,슈퍼마켓,living
201901,세종,스포츠 및 레크레이션 용품 임대업,108571174,오락/문화,leisure
201901,세종,여관업,7571000,숙박/음식,tour
201901,세종,욕탕업,45187370,기타,living
201901,세종,육류 소매업,336483877,식료품,eatery
201901,세종,일반유흥 주점업,12406000,숙박/음식,eatery
201901,세종,일식 음식점업,163100740,숙박/음식,eatery
201901,세종,전시 및 행사 대행업,11445080,기타,hobbyenter
201901,세종,중식 음식점업,339034211,숙박/음식,eatery
201901,세종,차량용 가스 충전업,43536880,연료,living
201901,세종,차량용 주유소 운영업,1836246839,연료,living
201901,세종,체인화 편의점,1028490230,편의점,living
201901,세종,피자 햄버거 샌드위치 및 유사 음식점업,303441608,숙박/음식,eatery
201901,세종,한식 음식점업,3019453655,숙박/음식,eatery
201901,세종,화장품 및 방향제 소매업,67450325,화장품,fbeauty
201901,울산,건강보조식품 소매업,124776811,건강보조식품,eatery
201901,울산,골프장 운영업,349865150,스포츠/오락/여가,leisure
201901,울산,과실 및 채소 소매업,1106587180,식료품,eatery
201901,울산,관광 민예품 및 선물용품 소매업,5440000,여행/교통,tour
201901,울산,그외 기타 스포츠시설 운영업,7373600,스포츠/오락/여가,leisure
201901,울산,그외 기타 종합 소매업,2419959820,종합소매,living
201901,울산,기타 대형 종합 소매업,10453866129,종합소매,living
201901,울산,기타 수상오락 서비스업,974800,오락/문화,leisure
201901,울산,기타 외국식 음식점업,952063406,숙박/음식,eatery
201901,울산,기타 주점업,458168030,숙박/음식,eatery
201901,울산,기타음식료품위주종합소매업,1527046550,종합소매,eatery
201901,울산,마사지업,50689000,기타,living
201901,울산,면세점,550600,면세점,tour
201901,울산,버스 운송업,46480476,대중교통,living
201901,울산,비알콜 음료점업,1209651658,식료품,eatery
201901,울산,빵 및 과자류 소매업,1234650085,식료품,eatery
201901,울산,서양식 음식점업,2098817213,숙박/음식,eatery
201901,울산,수산물 소매업,414959230,식료품,eatery
201901,울산,슈퍼마켓,9809605387,슈퍼마켓,living
201901,울산,스포츠 및 레크레이션 용품 임대업,1557637916,오락/문화,leisure
201901,울산,여관업,433404140,숙박/음식,tour
201901,울산,여행사업,1375500,여행사/자동차임대,tour
201901,울산,욕탕업,666650724,기타,living
201901,울산,육류 소매업,3057065270,식료품,eatery
201901,울산,일반유흥 주점업,1561327818,숙박/음식,eatery
201901,울산,일식 음식점업,924168639,숙박/음식,eatery
201901,울산,자동차 임대업,2233000,여행사/자동차임대,tour
201901,울산,전시 및 행사 대행업,19891200,기타,hobbyenter
201901,울산,중식 음식점업,1080913080,숙박/음식,eatery
201901,울산,차량용 가스 충전업,311449976,연료,living
201901,울산,차량용 주유소 운영업,12447075662,연료,living
201901,울산,체인화 편의점,6149800339,편의점,living
201901,울산,피자 햄버거 샌드위치 및 유사 음식점업,1697509043,숙박/음식,eatery
201901,울산,한식 음식점업,23487134815,숙박/음식,eatery
201901,울산,호텔업,173204712,숙박/음식,tour
201901,울산,화장품 및 방향제 소매업,775720920,화장품,fbeauty
201901,인천,건강보조식품 소매업,552861009,건강보조식품,eatery
201901,인천,골프장 운영업,240457750,스포츠/오락/여가,leisure
201901,인천,과실 및 채소 소매업,3075705961,식료품,eatery
201901,인천,관광 민예품 및 선물용품 소매업,16147000,여행/교통,tour
201901,인천,그외 기타 스포츠시설 운영업,20365000,스포츠/오락/여가,leisure
201901,인천,그외 기타 종합 소매업,876990110,종합소매,living
201901,인천,기타 대형 종합 소매업,28285140643,종합소매,living
201901,인천,기타 수상오락 서비스업,23290300,오락/문화,leisure
201901,인천,기타 외국식 음식점업,3251679929,숙박/음식,eatery
201901,인천,기타 주점업,586908660,숙박/음식,eatery
201901,인천,기타음식료품위주종합소매업,1140263232,종합소매,eatery
201901,인천,내항 여객 운송업,352786676,기타운송수단,tour
201901,인천,마사지업,78635900,기타,living
201901,인천,면세점,18290069115,면세점,tour
201901,인천,비알콜 음료점업,2996911947,식료품,eatery
201901,인천,빵 및 과자류 소매업,3650038153,식료품,eatery
201901,인천,서양식 음식점업,4435114462,숙박/음식,eatery
201901,인천,수산물 소매업,1427120728,식료품,eatery
201901,인천,슈퍼마켓,28401043435,슈퍼마켓,living
201901,인천,스포츠 및 레크레이션 용품 임대업,5418820569,오락/문화,leisure
201901,인천,여관업,1202295985,숙박/음식,tour
201901,인천,여행사업,3022500,여행사/자동차임대,tour
201901,인천,욕탕업,1082358373,기타,living
201901,인천,육류 소매업,4800818605,식료품,eatery
201901,인천,일반유흥 주점업,1831424332,숙박/음식,eatery
201901,인천,일식 음식점업,2955995040,숙박/음식,eatery
201901,인천,자동차 임대업,1335000,여행사/자동차임대,tour
201901,인천,전시 및 행사 대행업,106720161,기타,hobbyenter
201901,인천,정기 항공 운송업,596295382,항공사,tour
201901,인천,중식 음식점업,3348211196,숙박/음식,eatery
201901,인천,차량용 가스 충전업,704290278,연료,living
201901,인천,차량용 주유소 운영업,24636655272,연료,living
201901,인천,체인화 편의점,18694906325,편의점,living
201901,인천,택시 운송업,130179550,기타운송수단,living
201901,인천,피자 햄버거 샌드위치 및 유사 음식점업,4397889375,숙박/음식,eatery
201901,인천,한식 음식점업,51192281930,숙박/음식,eatery
201901,인천,호텔업,821989297,숙박/음식,tour
201901,인천,화장품 및 방향제 소매업,1547864373,화장품,fbeauty
201901,전남,건강보조식품 소매업,235988388,건강보조식품,eatery
201901,전남,골프장 운영업,1232972950,스포츠/오락/여가,leisure
201901,전남,과실 및 채소 소매업,2520640645,식료품,eatery
201901,전남,관광 민예품 및 선물용품 소매업,6928400,여행/교통,tour
201901,전남,그외 기타 스포츠시설 운영업,5382000,스포츠/오락/여가,leisure
201901,전남,그외 기타 종합 소매업,2895868620,종합소매,living
201901,전남,기타 대형 종합 소매업,10225057530,종합소매,living
201901,전남,기타 외국식 음식점업,668481946,숙박/음식,eatery
201901,전남,기타 주점업,672744430,숙박/음식,eatery
201901,전남,기타음식료품위주종합소매업,7646800407,종합소매,eatery
201901,전남,내항 여객 운송업,17227200,기타운송수단,tour
201901,전남,마사지업,82843000,기타,living
201901,전남,면세점,56859530,면세점,tour
